"dtc","modelType","factory","serialStart","serialEnd","ecu","compFull","standard","event","symptom","condition","preDtc","causes","actions","mode"
"B108811","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 3","HVAC, Cab, Front, Blower","ISO 14229 / SAE J1939","회로의 접지 단락","B108811 HVAC, Cab, Front, Blower 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C106618","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","바이브레이션 프런트 드럼, 후진 방향, 가변 변위 모터 솔레노이드","ISO 14229 / SAE J1939","회로 전류 임계값 미만","C106618 바이브레이션 프런트 드럼, 후진 방향, 가변 변위 모터 솔레노이드 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C106B19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","Vibration Front Drum, Brake Pressure Defeat Solenoid","ISO 14229 / SAE J1939","회로 전류 임계값 초과","C106B19 Vibration Front Drum, Brake Pressure Defeat Solenoid 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11BE12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","드라이브 전진 솔레노이드 밸브","ISO 14229 / SAE J1939","회로의 전원 단락","B11BE12 드라이브 전진 솔레노이드 밸브 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C106219","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","바이브레이션 프런트 드럼, 가변 변위 모터 솔레노이드","ISO 14229 / SAE J1939","회로 전류 임계값 초과","C106219 바이브레이션 프런트 드럼, 가변 변위 모터 솔레노이드 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C100111","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","주차 브레이크 압력 센서 회로","ISO 14229 / SAE J1939","회로의 접지 단락","C100111 주차 브레이크 압력 센서 회로 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11CA87","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","X2 Pedal, 2-Piece Boom","ISO 14229 / SAE J1939","메시지 누락","B11CA87 X2 Pedal, 2-Piece Boom 메시지 누락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P007A11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","충전 에어 쿨러 온도 센서 회로(뱅크 1)","ISO 14229 / SAE J1939","회로의 접지 단락","SE2512-4","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10C113","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","오른쪽 엔드 게이트, 앞쪽 잠금장치 액추에이터","ISO 14229 / SAE J1939","회로 단선","B10C113 오른쪽 엔드 게이트, 앞쪽 잠금장치 액추에이터 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10BE11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","왼쪽 엔드 게이트, 앞쪽 잠금장치 액추에이터","ISO 14229 / SAE J1939","회로의 접지 단락","B10BE11 왼쪽 엔드 게이트, 앞쪽 잠금장치 액추에이터 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10C212","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","왼쪽 엔드 게이트, 뒤쪽 방향 지시등 액추에이터","ISO 14229 / SAE J1939","회로의 전원 단락","B10C212 왼쪽 엔드 게이트, 뒤쪽 방향 지시등 액추에이터 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P100D64","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","트랜스미션 엔진 속도 센서 회로","ISO 14229 / SAE J1939","신호 타당성 오류","P100D64 트랜스미션 엔진 속도 센서 회로 신호 타당성 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P20EE84","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","후처리 컨트롤 모듈","SCR NOx 촉매 효율성 임계치 미달 (뱅크 1)","ISO 14229 / SAE J1939","허용 범위 미만 신호","P20EE84 SCR NOx 촉매 효율성 임계치 미달 (뱅크 1) 허용 범위 미만 신호","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P100211","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","예열 릴레이","ISO 14229 / SAE J1939","회로의 접지 단락","RE2501-4","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B105611","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","이동 모터 컨트롤 밸브","ISO 14229 / SAE J1939","회로의 접지 단락","B105611 이동 모터 컨트롤 밸브 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C104217","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","절연 결함 표시","ISO 14229 / SAE J1939","회로 전압 임계값 초과","SPN 524208-FMI16","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C100211","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","주차 브레이크 솔레노이드 밸브 회로","ISO 14229 / SAE J1939","회로의 접지 단락","C100211 주차 브레이크 솔레노이드 밸브 회로 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104C11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","후진등 좌측","ISO 14229 / SAE J1939","회로의 접지 단락","B104C11 후진등 좌측 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104E11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","이동 기어박스, 고속 솔레노이드 밸브","ISO 14229 / SAE J1939","회로의 접지 단락","B104E11 이동 기어박스, 고속 솔레노이드 밸브 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C100C11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","CDC 레버 채널 2","ISO 14229 / SAE J1939","회로의 접지 단락","C100C11 CDC 레버 채널 2 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B106413","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","좌측 견인 포인트 내림 액추에이터","ISO 14229 / SAE J1939","회로 단선","B106413 좌측 견인 포인트 내림 액추에이터 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B106918","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","우측 오거 속도 액추에이터","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B106918 우측 오거 속도 액추에이터 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B106512","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","우측 견인 포인트 내림 액추에이터","ISO 14229 / SAE J1939","회로의 전원 단락","B106512 우측 견인 포인트 내림 액추에이터 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B108D18","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","우측 스크리드 익스텐션 액추에이터","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B108D18 우측 스크리드 익스텐션 액추에이터 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B108913","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","스크리드 플로트 액추에이터","ISO 14229 / SAE J1939","회로 단선","B108913 스크리드 플로트 액추에이터 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B106B19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","우측 오거 전진 액추에이터","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B106B19 우측 오거 전진 액추에이터 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B106C29","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","좌측 견인 포인트 내림 액추에이터","ISO 14229 / SAE J1939","잘못된 신호","B106C29 좌측 견인 포인트 내림 액추에이터 잘못된 신호","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B105D11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","좌측 컨베이어 속도 액추에이터","ISO 14229 / SAE J1939","회로의 접지 단락","B105D11 좌측 컨베이어 속도 액추에이터 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B107B18","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","좌측 컨베이어 후진 액추에이터","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B107B18 좌측 컨베이어 후진 액추에이터 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B109818","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","우측 스크리드 히팅 바 진단","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B109818 우측 스크리드 히팅 바 진단 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B110012","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","스크리드 로드, 액추에이터","ISO 14229 / SAE J1939","회로의 전원 단락","B110012 스크리드 로드, 액추에이터 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10AA19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","50Hz 소켓 릴레이","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B10AA19 50Hz 소켓 릴레이 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B109429","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","우측 스크리드 온도 센서 진단","ISO 14229 / SAE J1939","잘못된 신호","B109429 우측 스크리드 온도 센서 진단 잘못된 신호","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B101F12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","CBAT04 릴레이, 상태","ISO 14229 / SAE J1939","회로의 전원 단락","B101F12 CBAT04 릴레이, 상태 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B101811","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","홈 조명 액추에이터","ISO 14229 / SAE J1939","회로의 접지 단락","B101811 홈 조명 액추에이터 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B101A18","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛 2","앞쪽 및 뒤쪽 작업등 액추에이터","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B101A18 앞쪽 및 뒤쪽 작업등 액추에이터 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B101F18","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","CBAT04 릴레이, 상태","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B101F18 CBAT04 릴레이, 상태 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P101B19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 2","하이브리드/EV BMU 전압 공급 ""B""","ISO 14229 / SAE J1939","회로 전류 임계값 초과","P101B19 하이브리드/EV BMU 전압 공급 ""B"" 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P101D12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","트랜스미션 클러치 F 솔레노이드 밸브 회로","ISO 14229 / SAE J1939","회로의 전원 단락","P101D12 트랜스미션 클러치 F 솔레노이드 밸브 회로 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104A11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","트랜스미션 출력 회전 속도 센서","ISO 14229 / SAE J1939","회로의 접지 단락","B104A11 트랜스미션 출력 회전 속도 센서 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B100118","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","보조 스티어링 릴레이 회로","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B100118 보조 스티어링 릴레이 회로 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P054070","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","흡기 히터 ""A"" 컨트롤","ISO 14229 / SAE J1939","액츄에이터 고착","SID 70-6","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P220013","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","후처리 컨트롤 모듈","NOx 센서 뱅크 1 센서 1","ISO 14229 / SAE J1939","회로 단선","P220013 NOx 센서 뱅크 1 센서 1 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C103018","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","솔레노이드 진동 적음","ISO 14229 / SAE J1939","회로 전류 임계값 미만","C103018 솔레노이드 진동 적음 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P100213","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","예열 릴레이","ISO 14229 / SAE J1939","회로 단선","SPN 626-FMI5","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104F11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","이동 기어박스, 저속 솔레노이드 밸브","ISO 14229 / SAE J1939","회로의 접지 단락","B104F11 이동 기어박스, 저속 솔레노이드 밸브 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P103E12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","4차 기능 레버 채널 2","ISO 14229 / SAE J1939","회로의 전원 단락","P103E12 4차 기능 레버 채널 2 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P020256","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","실린더 2 인젝터 ""A""","ISO 14229 / SAE J1939","잘못된 / 비호환 구성","P020256 실린더 2 인젝터 ""A"" 잘못된 / 비호환 구성","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P020356","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","실린더 3 인젝터 ""A""","ISO 14229 / SAE J1939","잘못된 / 비호환 구성","P020356 실린더 3 인젝터 ""A"" 잘못된 / 비호환 구성","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11AC19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","전기 유압식 비례 제어 밸브, 좌측 전진","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B11AC19 전기 유압식 비례 제어 밸브, 좌측 전진 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11B512","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","전기 유압 비례 제어 밸브, 암 아웃","ISO 14229 / SAE J1939","회로의 전원 단락","B11B512 전기 유압 비례 제어 밸브, 암 아웃 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11BB17","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","선회 각도 센서","ISO 14229 / SAE J1939","회로 전압 임계값 초과","B11BB17 선회 각도 센서 회로 전압 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B107E2F","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","컨트롤 잠금 레버","ISO 14229 / SAE J1939","불규칙한 신호","B107E2F 컨트롤 잠금 레버 불규칙한 신호","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P054013","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","흡기 히터 ""A"" 컨트롤","ISO 14229 / SAE J1939","회로 단선","P054013 흡기 히터 ""A"" 컨트롤 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P047A12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","후처리 컨트롤 모듈","배기 압력 센서 ""B""","ISO 14229 / SAE J1939","회로의 전원 단락","P047A12 배기 압력 센서 ""B"" 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P103A11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","3차 기능 레버 채널 1","ISO 14229 / SAE J1939","회로의 접지 단락","P103A11 3차 기능 레버 채널 1 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C100219","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","주차 브레이크 솔레노이드 밸브 회로","ISO 14229 / SAE J1939","회로 전류 임계값 초과","C100219 주차 브레이크 솔레노이드 밸브 회로 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P011513","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","엔진 냉각수 온도 센서 1","ISO 14229 / SAE J1939","회로 단선","SPN 110-FMI5","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
